image_name,objects_detected,timestamp
04-10-2021-11-07-58-873199.jpg,"e-cigarette,lighter",2021-04-10
06-10-2021-10-16-32-527788.jpg,"mobile,mobile,jewellery",2021-06-10
06-10-2021-11-04-04-506133.jpg,"mobile,jewellery",2021-06-10
08-10-2021-07-51-34-242218.jpg,"watch,jewellery,cutter,e-cigarette",2021-08-10
08-10-2021-13-38-04-856422.jpg,"gun,watch,knife,knife",2021-08-10
16-10-2021-10-55-23-857931.jpg,"watch",2021-10-16
16-10-2021-10-56-11-004271.jpg,"watch,gun,jewellery",2021-10-16
20-10-2021-10-21-17-398092.jpg,"mobile,knife,e-cigarette",2021-10-20
20-10-2021-10-21-49-969347.jpg,"knife,scissor,mobile,e-cigarette",2021-10-20
20-10-2021-10-22-09-823953.jpg,"scissor,mobile,e-cigarette",2021-10-20
20-10-2021-10-22-32-730471.jpg,"mobile,scissor,nail_cutter,e-cigarette,knife",2021-10-20
20-10-2021-10-22-54-933062.jpg,"mobile,e-cigarette,knife,cigar_cutter",2021-10-20
20-10-2021-10-23-20-964349.jpg,"mobile,e-cigarette,knife,cigar_cutter",2021-10-20
20-10-2021-11-24-52-123272.jpg,"laptop,gun,e-cigarette,knife,mobile,lighter",2021-10-20
20-10-2021-11-58-25-465623.jpg,"cigar_cutter,knife,mobile,e-cigarette,battrey,ammo,lighter",2021-10-20
22-10-2021-12-25-10-701996.jpg,"cigar_cutter,mobile,e-cigarette",2021-10-22
25-10-2021-08-03-10-564119.jpg,"lighter,gold,scissor,mobile,knife",2021-10-25
25-10-2021-08-06-55-666701.jpg,"lighter,gold,scissor,mobile,knife",2021-10-25
25-10-2021-08-08-29-726686.jpg,"lighter,gold,mobile,knife,plier",2021-10-25
27-09-2021-12-33-52-043555.jpg,"jewellery,ammo,watch,e-cigarette,lighter,cigarette_case,cigarette,knife,scissor",2021-09-27
27-09-2021-12-35-24-454339.jpg,"jewellery,ammo,watch,e-cigarette,lighter,cigarette_case,cigarette,knife,scissor",2021-09-27
27-09-2021-12-35-37-227378.jpg,"jewellery,ammo,watch,e-cigarette,lighter,cigarette_case,cigarette,knife,scissor",2021-09-27
27-09-2021-12-35-48-972567.jpg,"jewellery,ammo,watch,e-cigarette,lighter,cigarette_case,cigarette,knife,scissor",2021-09-27
28-09-2021-12-36-58-853409.jpg,"jewellery,ammo,watch,e-cigarette,lighter,cigarette_case,cigarette,knife,scissor,gun",2021-09-28
29-09-2021-09-36-50-371102.jpg,"watch",2021-09-29
29-09-2021-10-08-32-407038.jpg,"watch,jwellery,cigrarette,cigarette_case",2021-09-29
29-09-2021-10-23-00-356709.jpg,"cigar,cigar_cutter,e-cigareatte",2021-09-29
30-09-2021-11-42-20-153819.jpg,"scissor,jewellery,lighter",2021-09-30
30-09-2021-11-55-58-602507.jpg,"scissor,jewellery,lighter",2021-09-30
